id,source,url,brand,name,category,is_ai,is_available,price,price_segment,cpu_brand,cpu_family,gpu_type,gpu_model,ram_gb,ram_type,storage_gb,storage_type,screen_size_inches,screen_res,screen_hz,os_family,weight_kg,battery_wh,avg_rating,review_count,satisfied_count
anphat_laptop-asus-expertbook-p1503cva-c5h08-50w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-expertbook-p1503cva-c5h08-50w.html,Asus,Laptop ASUS ExpertBook P1503CVA-C5H08-50W (Intel Core 5 Processor 210H | Intel Graphics | 15.6 inch FHD | 8GB | 512GB | Win 11 | Xám),Office,False,True,18690000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.68,63.0,0.0,0,615
anphat_laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa.html,HP,Laptop HP OmniBook X Flip 14-fm0088TU BZ7Q2PA (Intel Core Ultra 5 226V | 16GB | 512GB | Intel Arc | 14 inch 2K | Cám ứng | Win 11 | Office | Xanh),Office,True,True,27590000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,Other,Windows,,59.0,0.0,0,6625
anphat_laptop-hp-elitebook-6-g1i-13-bq9m7pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-elitebook-6-g1i-13-bq9m7pt.html,HP,Laptop HP EliteBook 6 G1i 13 BQ9M7PT (Intel Core Ultra 7 265U | 16GB | 512GB | 13.3 inch WUXGA | Win 11 Pro | Bạc),Office,True,True,35990000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.3,56.0,0.0,0,159
anphat_laptop-lenovo-ideapad-slim-3-15irh10-83k1002pvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-ideapad-slim-3-15irh10-83k1002pvn.html,Lenovo,Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1002PVN (Intel Core i5-13420H | 16GB | 512GB | Intel UHD | 15.1 inch WQXGA OLED 165Hz | Win 11 | Xám,Office,False,True,17690000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.49,60.0,0.0,0,5998
anphat_laptop-lenovo-v15-g4-iru-83a100rhvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-v15-g4-iru-83a100rhvn.html,Lenovo,Laptop Lenovo V15 G4 IRU 83A100RHVN (Intel Core i7-13620H | 16GB | 512GB | Intel UHD | 15.6 inch FHD IPS | Win 11 | Xám),Office,False,True,18990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.65,38.0,0.0,0,886
anphat_laptop-lenovo-thinkpad-p14s-gen-6-21qt005cva,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-p14s-gen-6-21qt005cva.html,Lenovo,Laptop Lenovo ThinkPad P14s Gen 6 21QT005CVA (Intel core Ultra 7 255H | RTX PRO 500 BW 6GB GDDR7 | 14.5 inch WUXGA | 32GB | 512GB | NoOS | Black),Office,True,True,52910000,Premium,Intel,Intel Core Ultra,Dedicated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.6,57.0,0.0,0,1192
anphat_laptop-lenovo-ideapad-slim-5-14irh10r-83j0006evn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006evn.html,Lenovo,Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006EVN (Intel Core 5 210H | Integrated Intel Graphics | 14 inch WUXGA | 16GB | 512GB | Windows 11 Home | Xám),Office,False,True,19990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,60.0,0.0,0,9504
anphat_laptop-acer-gaming-nitro-v-16-ai-propanel-anv16s-61-r0b8,An Phat PC,https://www.anphatpc.com.vn/laptop-acer-gaming-nitro-v-16-ai-propanel-anv16s-61-r0b8.html,Acer,"Laptop Acer Gaming Nitro ProPanel ANV16S-61-R0B8 NH.QXQSV.001 (Ryzen AI 5 340 | RTX 5050 | 16"" FHD IPS 180Hz 100% sRGB | Win 11 | Đen)",Gaming,True,True,36990000,Mid-high,AMD,AMD Ryzen AI,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,240+,Windows,2.1,76.0,0.0,0,1966
anphat_laptop-asus-expertbook-p5-p5405csa-nz0450ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0450ws.html,Asus,Laptop ASUS ExpertBook P5 P5405CSA-NZ0450WS (Intel Core Ultra 5-226V | Intel Arc 130V | 14 inch WQXGA  | 16GB | 512GB | Win 11 Home | Office | Xám),Office,True,True,28790000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.27,63.0,0.0,0,13380
anphat_laptop-asus-vivobook-x1404va-eb609w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-vivobook-x1404va-eb609w.html,Asus,Laptop ASUS Vivobook X1404VA-EB609W (Intel Core 3 Processor 100U | 14 inch FHD 60Hz | 8GB | 512GB | Win 11 | Bạc),Office,False,True,14290000,Budget,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,42.0,0.0,0,186
anphat_laptop-asus-zenbook-14-ux3405ca-st628w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-zenbook-14-ux3405ca-st628w.html,Asus,Laptop ASUS Zenbook 14 UX3405CA-ST628W (Intel Core Ultra 5 225H | Intel Arc Graphics | 14.0-inch 3K OLED | 16GB | 512GB | Windows 11 Home | Xanh),Office,True,True,33990000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.2,75.0,0.0,0,388
anphat_laptop-dell-15-dc15250-71073959,An Phat PC,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-71073959.html,Dell,Laptop Dell 15 DC15250 71073959 (Intel Core i7-1355U | 16GB | 512GB | Intel Graphics | 15.6 inch FHD IPS | Win 11 | OfficeHS24+365 | Bạc),Office,False,True,20990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.65,54.0,0.0,0,15174
anphat_laptop-hp-omnibook-5-16-ag1069au-bz7t1pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-16-ag1069au-bz7t1pa.html,HP,Laptop HP OmniBook 5 16-ag1069AU BZ7T1PA (AMD Ryzen AI 5 340 | AMD Radeon 840M | 16 inch WUXGA | 16 GB | 512 GB | Windows 11 Home | Office | Bạc),Office,True,True,23990000,Mainstream,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.79,59.0,0.0,0,513
anphat_laptop-dell-15-dc15250-i7u161w11slu,An Phat PC,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-i7u161w11slu.html,Dell,Laptop Dell 15 DC15250 i7U161W11SLU (Intel Core i7-1355U | 16GB | 1TB | 15.6 inch FHD IPS | Win 11 | Office | Bạc),Office,False,True,22990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,1024.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.65,54.0,0.0,0,12470
