ProductID,ProductName,Brand,Category,CPUBrand,CPUFamily,GPUType,GPUModel,RamCapacity,RamType,StorageCapacity,StorageType,DisplaySize,DisplayResolution,DisplayRefreshRate,OSFamily,DesignWeight,IsAiLaptop,IsAvailable
P0001,Laptop ASUS ExpertBook P1503CVA-C5H08-50W (Intel Core 5 Processor 210H | Intel Graphics | 15.6 inch FHD | 8GB | 512GB | Win 11 | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.68,False,True
P0002,Laptop HP OmniBook X Flip 14-fm0088TU BZ7Q2PA (Intel Core Ultra 5 226V | 16GB | 512GB | Intel Arc | 14 inch 2K | Cám ứng | Win 11 | Office | Xanh),HP,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,Other,Windows,,True,True
P0003,Laptop HP EliteBook 6 G1i 13 BQ9M7PT (Intel Core Ultra 7 265U | 16GB | 512GB | 13.3 inch WUXGA | Win 11 Pro | Bạc),HP,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.3,True,True
P0004,Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1002PVN (Intel Core i5-13420H | 16GB | 512GB | Intel UHD | 15.1 inch WQXGA OLED 165Hz | Win 11 | Xám,Lenovo,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.49,False,True
P0005,Laptop Lenovo V15 G4 IRU 83A100RHVN (Intel Core i7-13620H | 16GB | 512GB | Intel UHD | 15.6 inch FHD IPS | Win 11 | Xám),Lenovo,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.65,False,True
P0006,Laptop Lenovo ThinkPad P14s Gen 6 21QT005CVA (Intel core Ultra 7 255H | RTX PRO 500 BW 6GB GDDR7 | 14.5 inch WUXGA | 32GB | 512GB | NoOS | Black),Lenovo,Office,Intel,Intel Core Ultra,Dedicated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.6,True,True
P0007,Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006EVN (Intel Core 5 210H | Integrated Intel Graphics | 14 inch WUXGA | 16GB | 512GB | Windows 11 Home | Xám),Lenovo,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,False,True
P0008,"Laptop Acer Gaming Nitro ProPanel ANV16S-61-R0B8 NH.QXQSV.001 (Ryzen AI 5 340 | RTX 5050 | 16"" FHD IPS 180Hz 100% sRGB | Win 11 | Đen)",Acer,Gaming,AMD,AMD Ryzen AI,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,240+,Windows,2.1,True,True
P0009,Laptop ASUS ExpertBook P5 P5405CSA-NZ0450WS (Intel Core Ultra 5-226V | Intel Arc 130V | 14 inch WQXGA  | 16GB | 512GB | Win 11 Home | Office | Xám),Asus,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.27,True,True
P0010,Laptop ASUS Vivobook X1404VA-EB609W (Intel Core 3 Processor 100U | 14 inch FHD 60Hz | 8GB | 512GB | Win 11 | Bạc),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,False,True
