id,source,url,crawl_date,brand,name,category,is_ai_laptop,is_available,pricing_current_price,pricing_price_segment,spec_cpu_raw,spec_cpu_brand,spec_cpu_family,spec_gpu_type,spec_gpu_model,spec_ram_capacity_gb,spec_ram_type,spec_storage_capacity_gb,spec_storage_type,spec_display_size_inches,spec_display_resolution,spec_display_refresh_rate_hz,spec_os_family,spec_design_weight_kg,social_avg_rating,social_review_count,social_satisfied_count
anphat_laptop-asus-expertbook-p1503cva-c5h08-50w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-expertbook-p1503cva-c5h08-50w.html,2026-03-21T18:38:58,Asus,Laptop ASUS ExpertBook P1503CVA-C5H08-50W (Intel Core 5 Processor 210H | Intel Graphics | 15.6 inch FHD | 8GB | 512GB | Win 11 | Xám),Office,False,True,18690000,Mainstream,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 Cores, 12 Threads)",Intel,Core i5,Integrated,Integrated Graphics,8.0,DDR5,512.0,SSD,15.6,FHD,60.0,Windows 11,1.68,0.0,0,615
anphat_laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa.html,2026-03-21T18:38:58,HP,Laptop HP OmniBook X Flip 14-fm0088TU BZ7Q2PA (Intel Core Ultra 5 226V | 16GB | 512GB | Intel Arc | 14 inch 2K | Cám ứng | Win 11 | Office | Xanh),Office,True,True,27590000,Mid-high,"Intel Core Ultra 5 226V (up to 4.5 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 8 cores, 8 threads)",Intel,Core Ultra 5,Dedicated,Intel Arc,16.0,LPDDR5X,512.0,SSD,14.0,2K,,Windows 11,,0.0,0,6625
anphat_laptop-hp-elitebook-6-g1i-13-bq9m7pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-elitebook-6-g1i-13-bq9m7pt.html,2026-03-21T18:38:59,HP,Laptop HP EliteBook 6 G1i 13 BQ9M7PT (Intel Core Ultra 7 265U | 16GB | 512GB | 13.3 inch WUXGA | Win 11 Pro | Bạc),Office,True,True,35990000,Mid-high,"Intel Core Ultra 7 265U (up to 5.3 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 12 cores, 14 threads)",Intel,Core Ultra 7,Integrated,Integrated Graphics,16.0,DDR5,512.0,SSD,13.3,FHD+,60.0,Windows 11,1.3,0.0,0,159
anphat_laptop-lenovo-ideapad-slim-3-15irh10-83k1002pvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-ideapad-slim-3-15irh10-83k1002pvn.html,2026-03-21T18:38:59,Lenovo,Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1002PVN (Intel Core i5-13420H | 16GB | 512GB | Intel UHD | 15.1 inch WQXGA OLED 165Hz | Win 11 | Xám,Office,False,True,17690000,Mainstream,"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",Intel,Core i5,Integrated,Intel UHD,16.0,DDR5,512.0,SSD,15.1,2.5K,165.0,Windows 11,1.49,0.0,0,5998
anphat_laptop-lenovo-v15-g4-iru-83a100rhvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-v15-g4-iru-83a100rhvn.html,2026-03-21T18:38:59,Lenovo,Laptop Lenovo V15 G4 IRU 83A100RHVN (Intel Core i7-13620H | 16GB | 512GB | Intel UHD | 15.6 inch FHD IPS | Win 11 | Xám),Office,False,True,18990000,Mainstream,"Intel® Core i7-13620H, 10C (6P + 4E) / 16T, P-core up to 4.9GHz, E-core up to 3.6GHz, 24MB Intel Smart Cache",Intel,Core i7,Integrated,Intel UHD,24.0,DDR4,512.0,SSD,15.6,FHD,60.0,Windows,1.65,0.0,0,886
anphat_laptop-lenovo-thinkpad-p14s-gen-6-21qt005cva,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-p14s-gen-6-21qt005cva.html,2026-03-21T18:39:00,Lenovo,Laptop Lenovo ThinkPad P14s Gen 6 21QT005CVA (Intel core Ultra 7 255H | RTX PRO 500 BW 6GB GDDR7 | 14.5 inch WUXGA | 32GB | 512GB | NoOS | Black),Office,True,True,52910000,Premium,"Intel core Ultra 7 255H (16 nhân, 16 luồng, 24MB Cache, upto 5.10 GHz)",Intel,Core Ultra 7,Dedicated,NVIDIA RTX PRO 500,32.0,DDR5,512.0,SSD,14.5,FHD+,60.0,Windows,1.6,0.0,0,1192
anphat_laptop-lenovo-ideapad-slim-5-14irh10r-83j0006evn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-ideapad-slim-5-14irh10r-83j0006evn.html,2026-03-21T18:39:00,Lenovo,Laptop Lenovo IdeaPad Slim 5 14IRH10R 83J0006EVN (Intel Core 5 210H | Integrated Intel Graphics | 14 inch WUXGA | 16GB | 512GB | Windows 11 Home | Xám),Office,False,True,19990000,Mainstream,"Intel Core 5 210H (8 nhân, 12 luồng, upto 4.8GHz, 12MB)",Intel,Core i5,Integrated,Integrated Graphics,16.0,DDR5,512.0,SSD,14.0,FHD+,60.0,Windows 11,1.39,0.0,0,9504
anphat_laptop-acer-gaming-nitro-v-16-ai-propanel-anv16s-61-r0b8,An Phat PC,https://www.anphatpc.com.vn/laptop-acer-gaming-nitro-v-16-ai-propanel-anv16s-61-r0b8.html,2026-03-21T18:39:00,Acer,"Laptop Acer Gaming Nitro ProPanel ANV16S-61-R0B8 NH.QXQSV.001 (Ryzen AI 5 340 | RTX 5050 | 16"" FHD IPS 180Hz 100% sRGB | Win 11 | Đen)",Gaming,True,True,36990000,Mid-high,"AMD Ryzen AI 5 340 (UP to 50 TOPS, 6 nhân, 12 luồng, 4.8GHz)",AMD,Ryzen AI 5,Dedicated,NVIDIA RTX 5050,16.0,DDR5,4096.0,SSD,16.0,FHD,180.0,Windows 11,2.1,0.0,0,1966
anphat_laptop-asus-expertbook-p5-p5405csa-nz0450ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0450ws.html,2026-03-21T18:39:01,Asus,Laptop ASUS ExpertBook P5 P5405CSA-NZ0450WS (Intel Core Ultra 5-226V | Intel Arc 130V | 14 inch WQXGA  | 16GB | 512GB | Win 11 Home | Office | Xám),Office,True,True,28790000,Mid-high,"Intel Core Ultra 5 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads)",Intel,Core Ultra 5,Dedicated,Intel Arc,16.0,LPDDR5X,512.0,SSD,14.0,2.5K,144.0,Windows 11,1.27,0.0,0,13380
anphat_laptop-asus-vivobook-x1404va-eb609w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-vivobook-x1404va-eb609w.html,2026-03-21T18:39:01,Asus,Laptop ASUS Vivobook X1404VA-EB609W (Intel Core 3 Processor 100U | 14 inch FHD 60Hz | 8GB | 512GB | Win 11 | Bạc),Office,False,True,14290000,Budget,"Intel Core 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 cores, 8 Threads)",Intel,Core i3,Integrated,Integrated Graphics,8.0,DDR5,512.0,SSD,14.0,FHD,60.0,Windows 11,1.4,0.0,0,186
anphat_laptop-asus-zenbook-14-ux3405ca-st628w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-zenbook-14-ux3405ca-st628w.html,2026-03-21T18:39:01,Asus,Laptop ASUS Zenbook 14 UX3405CA-ST628W (Intel Core Ultra 5 225H | Intel Arc Graphics | 14.0-inch 3K OLED | 16GB | 512GB | Windows 11 Home | Xanh),Office,True,True,33990000,Mid-high,"Intel Core Ultra 5 Processor 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 cores, 14 Threads); Intel AI Boost NPU up to 13TOPS",Intel,Core Ultra 5,Dedicated,Intel Arc,16.0,LPDDR5X,512.0,SSD,14.0,3K,120.0,Windows 11,1.2,0.0,0,388
